ad_id,title,link,image_url,scraped_at,location,price,property_type,property_condition,property_age,construction_status,delivery_date,property_standing,area_sqm,total_rooms,bedrooms,bathrooms,floor_level,orientation,floor_material,has_garden,has_terrace,has_garage,has_elevator,has_pool,has_air_conditioning,has_heating,has_equipped_kitchen,has_armored_door,has_concierge,has_double_glazing,has_european_living_room,has_fireplace,has_fridge,has_furniture,has_microwave,has_mountain_view,has_oven,has_parabolic_antenna,has_sea_view,has_security,has_storage_room,has_washing_machine,amenities_entre-seul,amenities_façade_extérieure
7907095,Vente d'un bel appartement aux Jardins de Carthage. Superfic...,https://www.mubawab.tn/fr/pa/7907095/vente-d-un-bel-appartement-aux-jardins-de-carthage-superficie-112-m%C2%B2,https://www.mubawab-media.com/ad/7/907/095F/h/le%20palais_nuit_0006%2B%20%28002%29_74496446_74500804.avif,2025-03-30T16:47:57.921479,"Les Jardins de Carthage, Le Kram",,Appartement,,Moins d'un an,En cours de construction,septembre 2026,Haut standing,112.0,3.0,2.0,1.0,,,,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
8085085,Appartement S2 à vendre à Khzema EST,https://www.mubawab.tn/fr/pa/8085085/appartement-s2-%C3%A0-vendre-%C3%A0-khzema-est,https://www.mubawab-media.com/ad/8/085/085F/h/image00001%20%282%29_79706627.avif,2025-03-30T16:48:01.319368,"Khezama Est, Khezama Est",390000.0,Appartement,,,Finalisé,janvier 2025,Haut standing,111.0,3.0,2.0,1.0,,,,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7997676,Appartement en vente à Fouchana. Surface de 87 m²,https://www.mubawab.tn/fr/pa/7997676/appartement-en-vente-%C3%A0-fouchana-surface-de-87-m%C2%B2,https://www.mubawab-media.com/ad/7/997/676F/h/WhatsApp%20Image%202024-05-24%20at%201.19.31%20PM_78833418_78833929.avif,2025-03-30T16:48:05.979879,"Fouchana, Fouchana",,Appartement,,,En cours de construction,juin 2025,Économique,87.0,3.0,2.0,1.0,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8115505,Etage de villa en vente,https://www.mubawab.tn/fr/a/8115505/etage-de-villa-en-vente,https://www.mubawab-media.com/ad/8/115/505F/h/gallery_79999680.avif,2025-03-30T16:48:07.725671,"Le Bardo, Le Bardo",270000.0,Villa,,,,,,160.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8080519,Vente Appartement Yani à Hammamet,https://www.mubawab.tn/fr/a/8080519/vente-appartement-yani-%C3%A0-hammamet,https://www.mubawab-media.com/ad/8/080/519F/h/0_79659185.avif,2025-03-30T16:48:10.155348,"Hammamet, Hammamet",490000.0,Appartement,,Moins d'un an,Nouveau,,,160.0,4.0,3.0,2.0,2.0,Nord,,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1
8087871,A vendre un appartement S2 à centre Hammamet,https://www.mubawab.tn/fr/a/8087871/a-vendre-un-appartement-s2-%C3%A0-centre-hammamet,https://www.mubawab-media.com/ad/8/087/871F/h/WhatsApp-Image-2025-02-01-at-10.34.48-%281%29_79730301.avif,2025-03-30T16:48:11.710427,"Hammamet, Hammamet",190000.0,Appartement,,,Bon état,,,70.0,4.0,2.0,1.0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8047268,Rades fôret vente spacieux S3 de 150m2,https://www.mubawab.tn/fr/a/8047268/rades-f%C3%B4ret-vente-spacieux-s3-de-150m2,https://www.mubawab-media.com/ad/8/047/268F/h/WhatsApp%20Image%202024-11-06%20at%2019.51.37%20%281%29_79329744.avif,2025-03-30T16:48:13.997551,"Rades Foret, Rades",175000.0,Appartement,,,Bon état,,,150.0,4.0,4.0,1.0,6.0,,,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7969980,Mediana jadida vente S3 de 106m2,https://www.mubawab.tn/fr/a/7969980/mediana-jadida-vente-s3-de-106m2,https://www.mubawab-media.com/ad/7/969/980F/h/img012_78562839.avif,2025-03-30T16:48:16.272836,"Nouvelle Medina, Nouvelle Medina",235000.0,Appartement,,10-20 ans,Bon état,,,106.0,4.0,4.0,2.0,1.0,,Marbre,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8115447,Appart S3 à Vendre à Lafayette,https://www.mubawab.tn/fr/a/8115447/appart-s3-%C3%A0-vendre-%C3%A0-lafayette,https://www.mubawab-media.com/ad/8/115/447F/h/IMG_5486_79999064.avif,2025-03-30T16:48:18.405902,"Bab Bhar, Tunis",,Appartement,,,Bon état,,,130.0,1.0,3.0,1.0,1.0,,Marbre,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8092205,Un appartement S2,https://www.mubawab.tn/fr/a/8092205/un-appartement-s2,https://www.mubawab-media.com/ad/8/092/205F/h/IMG_5262_79770917.avif,2025-03-30T16:48:20.705770,"La Soukra, La Soukra",335000.0,Appartement,,,Bon état,,,112.0,3.0,2.0,2.0,,,,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8115293,Villa en bande en vente,https://www.mubawab.tn/fr/a/8115293/villa-en-bande-en-vente,https://www.mubawab-media.com/ad/8/115/293F/h/gallery_79997334.avif,2025-03-30T16:48:23.022703,"La Manouba, La Manouba",630000.0,Villa,,,,,,140.0,,,,,,,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8115292,S3 en vente,https://www.mubawab.tn/fr/a/8115292/s3-en-vente,https://www.mubawab-media.com/ad/8/115/292F/h/gallery_79997331.avif,2025-03-30T16:48:25.438255,"Mahdia Ville, Mahdia Ville",390000.0,Appartement,,,,,,180.0,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7789618,Appartement S2 avec terrasse à l'achat à El Mourouj 6,https://www.mubawab.tn/fr/pa/7789618/appartement-s2-avec-terrasse-%C3%A0-l-achat-%C3%A0-el-mourouj-6,https://www.mubawab-media.com/ad/7/789/618F/h/03_57680152.avif,2025-03-30T16:48:34.072541,"El Mourouj 6, El Mourouj",,Appartement,,Moins d'un an,Finalisé,novembre 2024,Haut standing,104.0,3.0,2.0,1.0,6.0,,Marbre,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1
8053694,Vente d'un bel appartement à Rades A 2 9,https://www.mubawab.tn/fr/pa/8053694/vente-d-un-bel-appartement-%C3%A0-rades-a-2-9,https://www.mubawab-media.com/ad/8/053/694F/h/S%2B2%20A-2-9-Salon-S.A.M%20V2_79446643.avif,2025-03-30T16:48:36.758913,"Radès, Rades",,Appartement,,Moins d'un an,En cours de construction,janvier 2026,Haut standing,123.0,3.0,2.0,1.0,,,Marbre,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
8018812,Appartement à l'achat à La Soukra,https://www.mubawab.tn/fr/pa/8018812/appartement-%C3%A0-l-achat-%C3%A0-la-soukra,https://www.mubawab-media.com/ad/8/018/812F/h/WhatsApp%20Image%202024-10-16%20at%2020.06.09_79051989_79051990.avif,2025-03-30T16:48:38.451293,"La Soukra, La Soukra",,Appartement,,,En cours de construction,décembre 2025,Haut standing,107.0,3.0,2.0,1.0,1.0,,Marbre,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
7907101,Vend appartement aux Jardins de Carthage. Surface de 74 m²,https://www.mubawab.tn/fr/pa/7907101/vend-appartement-aux-jardins-de-carthage-surface-de-74-m%C2%B2,https://www.mubawab-media.com/ad/7/907/101F/h/le%20palais_nuit_0006%2B%20%28002%29_74496446_74501125.avif,2025-03-30T16:48:40.756723,"Les Jardins de Carthage, Le Kram",,Appartement,,Moins d'un an,En cours de construction,septembre 2026,Haut standing,74.0,2.0,1.0,1.0,,,,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
7789548,Appartement S2 en vente à El Mourouj 6,https://www.mubawab.tn/fr/pa/7789548/appartement-s2-en-vente-%C3%A0-el-mourouj-6,https://www.mubawab-media.com/ad/7/789/548F/h/04_57568750_57665270.avif,2025-03-30T16:48:42.963615,"El Mourouj 6, El Mourouj",250000.0,Appartement,,Moins d'un an,Finalisé,novembre 2024,Haut standing,101.0,3.0,2.0,1.0,2.0,,Marbre,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
7631159,Un Bel Appartement S2,https://www.mubawab.tn/fr/pa/7631159/un-bel-appartement-s2,https://www.mubawab-media.com/ad/7/631/159F/h/SALON%201_40443779.avif,2025-03-30T16:48:45.277674,"Les Jardins de Carthage, Le Kram",709000.0,Appartement,,,En cours de construction,juin 2025,,129.0,3.0,,,,,,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8034511,"Superbe S2 de 107,5 m² à la nouvelle soukra",https://www.mubawab.tn/fr/pa/8034511/superbe-s2-de-107-5-m%C2%B2-%C3%A0-la-nouvelle-soukra,https://www.mubawab-media.com/ad/8/034/511F/h/pgarde-800x450_79203326.avif,2025-03-30T16:48:47.275786,"La Soukra, La Soukra",,Appartement,,Moins d'un an,En cours de construction,,Haut standing,107.0,3.0,2.0,2.0,5.0,,Marbre,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
6489960,Superbe villa Venus de luxe en vente,https://www.mubawab.tn/fr/pa/6489960/superbe-villa-venus-de-luxe-en-vente,https://www.mubawab-media.com/ad/6/489/960F/h/no-name-x-886861-1.avif,2025-03-30T16:48:50.957398,"Gammarth, La Marsa",845000.0,Villa,,Moins d'un an,En cours de construction,,Haut standing,350.0,6.0,3.0,4.0,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0
7789617,Appartement à vendre à El Mourouj 6 au 6ème étage,https://www.mubawab.tn/fr/pa/7789617/appartement-%C3%A0-vendre-%C3%A0-el-mourouj-6-au-6%C3%A8me-%C3%A9tage,https://www.mubawab-media.com/ad/7/789/617F/h/03_57678084.avif,2025-03-30T16:48:52.767981,"El Mourouj 6, El Mourouj",,Appartement,,Moins d'un an,Finalisé,novembre 2024,Haut standing,101.0,3.0,2.0,1.0,6.0,,Marbre,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
7882449,Remise exceptionnelle Vente S3 à Hammamet Nord,https://www.mubawab.tn/fr/pa/7882449/remise-exceptionnelle-vente-s3-%C3%A0-hammamet-nord,https://www.mubawab-media.com/ad/7/882/449F/h/IMG_9175_70477596.avif,2025-03-30T16:48:54.509925,"Hammamet Nord, Hammamet",,Appartement,,,Finalisé,mars 2024,Haut standing,141.0,1.0,3.0,3.0,,,,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1
7997624,Appartement à l'achat à Fouchana. Surface de 89 m²,https://www.mubawab.tn/fr/pa/7997624/appartement-%C3%A0-l-achat-%C3%A0-fouchana-surface-de-89-m%C2%B2,https://www.mubawab-media.com/ad/7/997/624F/h/1_78897390.avif,2025-03-30T16:48:56.748395,"Fouchana, Fouchana",188000.0,Appartement,,,En cours de construction,juin 2025,Économique,89.0,3.0,2.0,,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8036649,S2 avec terrasse à l'achat à Ain Zaghouan Nord. Surface tota...,https://www.mubawab.tn/fr/pa/8036649/s2-avec-terrasse-%C3%A0-l-achat-%C3%A0-ain-zaghouan-nord-surface-totale-132-m%C2%B2,https://www.mubawab-media.com/ad/8/036/649F/h/13_79223885_79224183.avif,2025-03-30T16:48:59.045643,"Ain Zaghouan Nord, La Marsa",582000.0,Appartement,,,Finalisé,novembre 2024,Haut standing,135.0,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7809696,Joli S3 à la nouvelle médina,https://www.mubawab.tn/fr/pa/7809696/joli-s3-%C3%A0-la-nouvelle-m%C3%A9dina,https://www.mubawab-media.com/ad/7/809/696F/h/IM09_61160427.avif,2025-03-30T16:49:01.515755,"Nouvelle Medina, Nouvelle Medina",310000.0,Appartement,,Moins d'un an,En cours de construction,juin 2025,Haut standing,132.0,4.0,3.0,2.0,3.0,Nord,Marbre,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
8035992,Appartement à vendre à Cité el Ghazela. 3 chambres agréables,https://www.mubawab.tn/fr/pa/8035992/appartement-%C3%A0-vendre-%C3%A0-cit%C3%A9-el-ghazela-3-chambres-agr%C3%A9ables,https://www.mubawab-media.com/ad/8/035/992F/h/3_79217797_79217816.avif,2025-03-30T16:49:04.995342,"Cité el Ghazela, Raoued",,Appartement,,,En cours de construction,décembre 2026,Haut standing,114.0,4.0,3.0,2.0,,,,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1
8035998,"Fabuleux S2 avec Terrasse, Résid les Oliviers",https://www.mubawab.tn/fr/pa/8035998/fabuleux-s2-avec-terrasse-r%C3%A9sid-les-oliviers,https://www.mubawab-media.com/ad/8/035/998F/h/1_79217845.avif,2025-03-30T16:49:06.774778,"Cité el Ghazela, Raoued",,Appartement,,,En cours de construction,décembre 2026,Haut standing,101.0,3.0,2.0,2.0,,,,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1
7809384,A vendre Un S2 à la nouvelle médina,https://www.mubawab.tn/fr/pa/7809384/a-vendre-un-s2-%C3%A0-la-nouvelle-m%C3%A9dina,https://www.mubawab-media.com/ad/7/809/384F/h/IM02_60353739.avif,2025-03-30T16:49:08.621830,"Nouvelle Medina, Nouvelle Medina",259000.0,Appartement,,Moins d'un an,En cours de construction,juin 2025,Haut standing,110.0,3.0,2.0,2.0,1.0,,Marbre,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
8035210,Vente d'un bel appartement à Sidi Hassine,https://www.mubawab.tn/fr/pa/8035210/vente-d-un-bel-appartement-%C3%A0-sidi-hassine,https://www.mubawab-media.com/ad/8/035/210F/h/vue_001_79204490_79210467.avif,2025-03-30T16:49:10.328145,"Sidi Hassine, Sidi Hassine",182071.0,Appartement,,,Finalisé,novembre 2024,Économique,112.0,4.0,3.0,1.0,,,,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8035207,Vente d'un bel appartement à Sidi Hassine,https://www.mubawab.tn/fr/pa/8035207/vente-d-un-bel-appartement-%C3%A0-sidi-hassine,https://www.mubawab-media.com/ad/8/035/207F/h/vue_001_79204490_79210423.avif,2025-03-30T16:49:12.608714,"Sidi Hassine, Sidi Hassine",194150.0,Appartement,,,Finalisé,novembre 2024,Économique,120.0,3.0,2.0,1.0,,,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8030683,"S2 Neuf à cité wafa, Mrezga",https://www.mubawab.tn/fr/pa/8030683/s2-neuf-%C3%A0-cit%C3%A9-wafa-mrezga,https://www.mubawab-media.com/ad/8/030/683F/h/068_79165480.avif,2025-03-30T16:49:14.492694,"Cité El Wafa, Nabeul",,Appartement,,Moins d'un an,En cours de construction,,Haut standing,125.0,3.0,2.0,2.0,2.0,,,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
8072934,"S2 Direct Promoteur – Résidence Youssef, Sfax",https://www.mubawab.tn/fr/pa/8072934/s2-direct-promoteur-%E2%80%93-r%C3%A9sidence-youssef-sfax,https://www.mubawab-media.com/ad/8/072/934F/h/463964183_1067031088454971_4065235136662761054_n_79583797.avif,2025-03-30T16:49:16.273470,"Sfax Ville, Sfax Ville",,Appartement,,Moins d'un an,Finalisé,septembre 2024,Haut standing,121.0,3.0,2.0,1.0,4.0,,,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7582027,Un magnifique S3 avec Jardin,https://www.mubawab.tn/fr/pa/7582027/un-magnifique-s3-avec-jardin,https://www.mubawab-media.com/ad/7/582/027F/h/facade4%20%281%29_35359449.avif,2025-03-30T16:49:18.830691,"Bizerte, Bizerte",566000.0,Appartement,,,En cours de construction,janvier 2025,Haut standing,219.0,4.0,3.0,1.0,,,,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8029820,S4 Neuf de 243m² aux jardins de Carthage,https://www.mubawab.tn/fr/pa/8029820/s4-neuf-de-243m%C2%B2-aux-jardins-de-carthage,https://www.mubawab-media.com/ad/8/029/820F/h/IMG_6030_79156452.avif,2025-03-30T16:49:20.471574,"Les Jardins de Carthage, Le Kram",,Appartement,,Moins d'un an,En cours de construction,octobre 2025,Haut standing,243.0,5.0,4.0,3.0,3.0,,Marbre,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
8115284,Villa individuelle en vente,https://www.mubawab.tn/fr/a/8115284/villa-individuelle-en-vente,https://www.mubawab-media.com/ad/8/115/284F/h/gallery_79997239.avif,2025-03-30T16:49:22.848056,"El Menzah 6, Ariana Ville",1300000.0,Villa,,,,,,634.0,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
